NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,2010.07.16_18:36:00_TAI,1,C,-0.236685496,-0.449228994,-0.191020409,-0.07837177,-0.212119134,-0.24803954,0.130294966,-0.767577367,-0.266736622,-0.761855043
11087,2010.07.16_19:12:00_TAI,1,C,-0.234323499,-0.441514818,-0.166201948,-0.111059954,-0.078010986,-0.190328501,0.134916404,-0.823761518,-0.613788741,-0.779269651
11087,2010.07.16_19:48:00_TAI,1,C,-0.244385325,-0.444407634,-0.168170884,-0.128185157,-0.13216671,-0.178786294,0.129537927,-0.865089597,-0.222154828,-0.779207677
11087,2010.07.16_20:24:00_TAI,1,C,-0.259027792,-0.447541518,-0.202845408,-0.101205373,-0.00549277,-0.190328501,0.119365048,-0.858093809,-0.250275652,-0.798109654
11087,2010.07.16_21:00:00_TAI,1,C,-0.277917883,-0.451398606,-0.231233752,-0.186142825,-0.131814824,-0.207641813,0.116565226,-0.845512413,-0.239301672,-0.845705451
11087,2010.07.16_21:36:00_TAI,1,C,-0.279790278,-0.458389578,-0.240281754,-0.231991428,-0.063849317,-0.21918402,0.099492701,-0.839949374,-0.310632542,-0.862500322
11087,2010.07.16_22:12:00_TAI,1,C,-0.287892227,-0.458871714,-0.261575857,-0.197300491,-0.160416699,-0.230726228,0.090010405,-0.820046015,-0.215981964,-0.892433616
11087,2010.07.16_22:48:00_TAI,1,C,-0.279306558,-0.455255694,-0.244925257,-0.211130962,-0.328657771,-0.236497332,0.089133805,-0.79818204,-2.148774202,-0.844465977
11087,2010.07.16_23:24:00_TAI,1,C,-0.298389255,-0.459112782,-0.271883371,-0.222777284,-0.308279121,-0.24803954,0.088107926,-0.787717816,-0.382649286,-0.861198874
11087,2010.07.17_00:00:00_TAI,1,C,-0.277411373,-0.461041326,-0.25840052,-0.227845249,-0.386598993,-0.24803954,0.070899096,-0.787394491,-2.148774202,-0.876630324
11087,2010.07.17_00:36:00_TAI,1,C,-0.286177152,-0.463934142,-0.268195884,-0.208054645,-0.256097923,-0.253810643,0.065214439,-0.783012383,-2.148774202,-0.875948613
11087,2010.07.17_01:12:00_TAI,1,C,-0.284681147,-0.466103754,-0.260612254,-0.216391427,-0.366570246,-0.253810643,0.059786782,-0.795937296,-0.477299864,-0.855311373
11087,2010.07.17_01:48:00_TAI,1,C,-0.283745317,-0.46899657,-0.252569586,-0.210649709,-0.282006632,-0.253810643,0.062553187,-0.81617182,-0.348355598,-0.870556902
11087,2010.07.17_02:24:00_TAI,1,C,-0.283791631,-0.468755502,-0.253263835,-0.230158965,-0.32623521,-0.242268436,0.049774195,-0.829458781,-0.477299864,-0.875452824
11087,2010.07.17_03:00:00_TAI,1,C,-0.282513227,-0.467068026,-0.245088386,-0.250771401,-0.459091437,-0.230726228,0.053020124,-0.843835448,-0.577437432,-0.898321117
11087,2010.07.17_03:36:00_TAI,1,C,-0.272405087,-0.467068026,-0.237087449,-0.217587156,-0.37585805,-0.213412917,0.065968311,-0.857531019,-0.613788741,-0.940091386
11087,2010.07.17_04:12:00_TAI,1,C,-0.268980817,-0.468032298,-0.237235403,-0.209653885,-0.330793866,-0.201870709,0.064479955,-0.876035363,-0.365502442,-0.990476
11087,2010.07.17_04:48:00_TAI,1,C,-0.269246937,-0.471648318,-0.221867078,-0.24312318,-0.34892342,-0.184557398,0.049433393,-0.920153395,-0.496504329,-0.962525864
11087,2010.07.17_05:24:00_TAI,1,C,-0.266218171,-0.471166182,-0.215512611,-0.294073065,-0.316367539,-0.17301519,0.062925446,-0.93882926,-2.148774202,-1.000329817
11087,2010.07.17_06:00:00_TAI,1,C,-0.262014655,-0.468273366,-0.18627827,-0.291100402,-0.198562113,-0.138388567,0.059564708,-0.974070946,-0.814063877,-1.027474295
11087,2010.07.17_06:36:00_TAI,1,C,-0.251142708,-0.465621618,-0.168326427,-0.254099451,-0.167727994,-0.115304152,0.058193047,-0.986884917,-2.148774202,-0.987563236
11087,2010.07.17_07:12:00_TAI,1,C,-0.229348824,-0.464898414,-0.13519215,-0.272472209,-0.195623123,-0.09799084,0.055944636,-0.998384446,-0.434089818,-0.975912181
11087,2010.07.17_07:48:00_TAI,1,C,-0.202089929,-0.462487734,-0.102956982,-0.192536086,-0.178505612,-0.103761944,0.069390148,-0.982127458,-0.684433738,-0.965252706
11087,2010.07.17_08:24:00_TAI,1,C,-0.224357976,-0.470925114,-0.152904989,-0.227893374,-0.28558199,-0.149930775,0.060394615,-0.94985176,-0.712554562,-1.002312975
11087,2010.07.17_09:00:00_TAI,1,C,-0.258593326,-0.480808902,-0.213285702,-0.216576525,-0.319143967,-0.196099605,0.047268711,-0.932916052,-0.708439319,-1.031006795
11087,2010.07.17_09:36:00_TAI,1,C,-0.265424223,-0.479603562,-0.221172829,-0.213674199,-0.506096444,-0.207641813,0.041268823,-0.912256051,-0.588411412,-1.008324423
11087,2010.07.17_10:12:00_TAI,1,C,-0.285452306,-0.48346065,-0.246769001,-0.210890335,-0.443743268,-0.207641813,0.040126325,-0.918940393,-0.596641897,-1.083870356
11087,2010.07.17_10:48:00_TAI,1,C,-0.282961661,-0.48346065,-0.232804348,-0.182337225,-0.386960791,-0.196099605,0.015755798,-0.938945429,-0.226955944,-1.081639303
